t_seconds,fr_elbow_tau,fl_elbow_tau,br_elbow_tau,bl_elbow_tau,fr_bottom_tau,fl_bottom_tau,br_bottom_tau,bl_bottom_tau
33.2390775680542,0.1824,5.9328714088418915e-06,0.07037210916110782,0.1824,0.03702099193415636,0.008318715877077902,0.1824,0.08342628752657455
33.26240086555481,0.1824,0.000564477498207391,0.06171644944815529,0.1824,0.034305642300870846,0.006867106399374442,0.1824,0.10236278325162569
33.28568768501282,0.1824,0.0774126128932202,0.13289585936120704,0.1824,0.08508587746091922,0.07367094021958913,0.1824,0.046550621973735405
33.3088436126709,0.1824,0.07087225690317439,0.11296195869558802,0.1824,0.061676911317853474,0.06267856947772919,0.1824,0.05490436293399227
33.33228015899658,0.1824,0.07681031660875688,0.11692407907868327,0.1824,0.060760039579581766,0.05511297044681017,0.1824,0.050339675663707235
33.35553026199341,0.1824,0.07088087006713768,0.10281860246269654,0.1824,0.06344290599974613,0.058272976243247905,0.1824,0.041082445980159435
33.37924027442932,0.1824,0.0703917837762019,0.10564912019092602,0.1824,0.07115622768761981,0.055701696572806034,0.1824,0.04109114562938642
33.40272116661072,0.1824,0.06643058517782784,0.11376875788478837,0.1824,0.07795849755241957,0.04761163320279595,0.1824,0.06411928502133499
33.74730062484741,0.00014591598064979755,0.1824,0.1824,0.07525179546724546,0.005847836917100187,0.035073942722303145,0.08003768701151745,0.1824
33.77051854133606,0.000697873160166962,0.1824,0.1824,0.06404581905132248,0.004633290289667783,0.03331951413307976,0.09546998905179789,0.1824
33.79397535324097,0.10680775752117126,0.1824,0.1824,0.14502926910812922,0.07619619309796646,0.0633163305020983,0.05133939270039988,0.1824
33.817259073257446,0.0953496594448465,0.1824,0.1824,0.12780259542321384,0.075709476495671,0.04957903517071615,0.05903055413668825,0.1824
33.840543031692505,0.08918230912876011,0.1824,0.1824,0.12019542963694477,0.07521508915659521,0.05066413865736488,0.05446365857957577,0.1824
33.86397457122803,0.09393351776403434,0.1824,0.1824,0.12105178737936442,0.06594289645541167,0.06721951393060424,0.035869306142062775,0.1824
33.88726258277893,0.07807508373561708,0.1824,0.1824,0.10257902667082917,0.06417032434446969,0.06611533340921281,0.04034458235598288,0.1824
33.91084313392639,0.07280729838936391,0.1824,0.1824,0.10103159140916874,0.0625385916396705,0.06417333886722441,0.036383150390846546,0.1824
34.25791358947754,0.1824,0.00016261084815656236,0.07068208594555979,0.1824,0.03639943196546171,0.00831829482263409,0.1824,0.08266087773004617
34.281405210494995,0.1824,0.0006131456125286392,0.060335149002270966,0.1824,0.03436804973147626,0.006926826512633231,0.1824,0.0992460689446873
34.30488061904907,0.1824,0.11587773739206746,0.14083770695148753,0.1824,0.06537092934868782,0.06802458309930225,0.1824,0.05580481091270818
